SlowK,SlowD,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
58.0642,70.9715,75.6604,2.8821,3.5518,0.6697,38.1995,85.5634,0.0,80.0,42.68,43.5,41.33,43.05,521503.0,-1
70.0315,80.8024,73.7428,2.7147,3.4393,0.7246,37.5066,101.349,10.0,90.0,43.0,44.13,41.08,42.11,728059.0,1
84.8189,86.7309,77.5449,2.5335,3.3413,0.8078,36.8489,159.1034,20.0,100.0,44.36,46.5,41.33,42.76,1090945.0,-1
87.5568,87.1133,76.2746,2.3316,3.1015,0.7699,36.0045,161.3708,0.0,100.0,40.6,42.36,40.21,42.01,741105.0,1
87.817,87.7742,72.951,2.1391,2.8266,0.6875,35.1466,135.1044,0.0,100.0,38.49,40.4,38.18,40.2,541217.0,1
85.966,83.6985,69.024,1.9673,2.619,0.6517,34.4247,132.6877,0.0,100.0,38.24,39.9971,37.38,38.38,525696.0,1
89.5395,75.5333,68.9348,1.8043,2.5011,0.6968,33.8596,120.5119,10.0,100.0,38.0,38.65,36.17,38.34,547400.0,1
75.5901,61.4201,66.9654,1.6301,2.3184,0.6883,33.2195,121.0552,0.0,90.0,37.6,37.6,36.07,37.42,581900.0,1
61.4704,54.1024,65.9954,1.4581,2.1452,0.6871,32.6195,139.7849,0.0,100.0,35.56,37.96,35.1,36.96,534400.0,1
47.1999,53.8198,62.2906,1.2863,1.9397,0.6534,31.9994,101.2368,0.0,70.0,34.41,37.33,34.22,35.25,1441341.0,1
53.6369,62.3109,61.1316,1.1229,1.8234,0.7004,31.535,60.1427,10.0,80.0,32.38,35.55,32.17,34.73,719590.0,1
60.6225,66.3975,56.8637,0.9478,1.7012,0.7534,31.0786,56.6235,0.0,90.0,35.69,36.09,32.3,32.87,714666.0,-1
72.6733,71.3372,66.6767,0.7595,1.71,0.9505,30.8227,114.6599,0.0,100.0,34.44,37.95,33.68,35.64,1083299.0,-1
65.8968,72.0621,64.3372,0.5219,1.4143,0.8925,30.1345,94.6391,0.0,80.0,35.14,35.51,32.16,34.47,607184.0,1
75.4416,79.3886,65.2177,0.2987,1.1355,0.8367,29.5152,106.5785,10.0,90.0,32.71,34.81,31.72,34.72,792174.0,1
74.8479,83.7291,59.1847,0.0896,0.7376,0.648,28.7716,109.442,20.0,100.0,35.5,36.79,29.495,31.72,790766.0,1
87.8762,89.3607,65.716,-0.0725,0.5244,0.5969,28.3504,120.4227,30.0,100.0,29.58,33.79,29.545,33.63,511588.0,1
88.4631,86.3102,57.6302,-0.2217,0.0503,0.2719,27.5962,100.6031,40.0,0.0,29.74,32.94,29.24,29.96,615544.0,1
91.7427,72.5533,55.5477,-0.2897,-0.182,0.1077,27.2585,46.1858,50.0,10.0,29.57,29.9247,28.14,29.15,502968.0,1
78.7247,49.3729,56.3478,-0.3166,-0.3933,-0.0767,26.9883,27.344,60.0,20.0,27.4,29.44,26.15,29.41,614384.0,1
47.1925,26.3758,51.3241,-0.2974,-0.6837,-0.3863,26.6423,5.2288,70.0,30.0,27.12,28.44,26.37,27.34,527254.0,1
22.2013,16.5571,47.0592,-0.2008,-0.8338,-0.6329,26.5427,-58.1535,80.0,40.0,21.73,26.7,21.35,25.73,763421.0,1
9.7334,16.4671,31.315,-0.0426,-0.8492,-0.8066,26.6588,-136.1992,90.0,50.0,22.66,24.14,20.88,21.05,839074.0,1
17.7365,26.0683,32.9745,0.1591,-0.38,-0.5391,27.46,-207.7918,100.0,60.0,20.45,24.18,20.45,21.93,1172673.0,1
21.9313,37.5625,37.8344,0.2938,0.1348,-0.1591,28.25,-190.0336,100.0,70.0,27.07,28.64,22.13,24.3,826849.0,-1
38.5371,51.1606,52.051,0.3336,0.5485,0.2149,28.8143,-0.1452,90.0,80.0,28.75,30.53,27.8101,29.18,674201.0,-1
52.2193,53.9101,49.3482,0.2799,0.5718,0.2919,28.7621,-1.5317,100.0,90.0,31.0,32.2853,26.13,28.41,797724.0,-1
62.7255,51.3443,72.4522,0.2069,0.6715,0.4646,28.8124,240.9952,0.0,100.0,33.89,36.6187,32.0209,33.25,1054933.0,-1
46.7854,49.6295,60.9179,0.0908,0.2963,0.2055,28.1784,115.4853,0.0,70.0,28.71,30.5,28.63,29.86,377936.0,1
44.5218,57.9697,56.627,0.0394,0.1582,0.1188,27.9382,64.2484,10.0,80.0,27.53,29.67,27.05,28.97,477947.0,1
57.5812,68.3031,47.1148,0.0097,0.0703,0.0606,27.7908,45.6664,20.0,90.0,28.66,29.57,27.24,27.35,499325.0,1
71.8061,72.5831,63.0051,-0.0055,0.122,0.1275,27.8538,201.6337,30.0,100.0,29.2,31.0571,29.18,29.42,519619.0,-1
75.5221,73.0915,62.2297,-0.0373,-0.0246,0.0128,27.63,202.3258,40.0,0.0,27.52,29.5,27.515,29.28,423402.0,1
70.4212,70.8614,49.7788,-0.0405,-0.197,-0.1565,27.3943,68.2995,50.0,10.0,26.99,28.36,26.5921,27.44,424430.0,1
73.3313,64.3056,48.2776,-0.0014,-0.2269,-0.2255,27.3878,36.6737,60.0,20.0,26.91,28.0,26.6,27.26,346356.0,1
68.8316,50.3242,46.9292,0.055,-0.2434,-0.2984,27.4061,11.4298,70.0,30.0,26.87,27.68,26.6332,27.09,201049.0,1
50.7539,31.8692,44.9539,0.1296,-0.2437,-0.3732,27.4512,-8.272,80.0,40.0,26.96,27.63,26.66,26.83,743635.0,1
31.3872,19.7333,45.7197,0.2229,-0.214,-0.4368,27.54,-37.4899,90.0,50.0,26.42,27.45,26.08,26.96,437669.0,1
13.4665,13.929,42.1008,0.3321,-0.1862,-0.5183,27.6228,-104.8418,100.0,0.0,25.99,26.7,25.1,26.43,830125.0,1
14.346,17.7233,38.553,0.4617,-0.094,-0.5557,27.7932,-135.496,90.0,0.0,25.92,26.6386,25.66,25.92,265938.0,1
13.9745,20.3607,37.4023,0.6006,0.0769,-0.5237,28.0608,-131.9042,100.0,0.0,27.3,27.3,25.3485,25.75,480824.0,-1
24.8492,22.3113,44.6117,0.7315,0.3112,-0.4203,28.3909,-90.3752,100.0,10.0,26.52,28.15,26.17,27.38,908879.0,-1
22.2583,18.7582,40.9342,0.8366,0.4398,-0.3967,28.5353,-69.5208,100.0,20.0,28.7,30.9082,26.38,26.795,975443.0,-1
19.8265,16.5389,48.1377,0.9357,0.6572,-0.2786,28.784,-86.936,100.0,30.0,28.02,28.88,26.71,28.26,438243.0,-1
14.1898,15.5548,45.3615,1.0054,0.7758,-0.2296,28.8588,-116.7626,100.0,40.0,27.96,28.75,26.9,27.79,330204.0,1
15.6003,19.6857,44.8527,1.0628,0.9638,-0.0989,29.0115,-144.8997,0.0,50.0,28.84,28.96,27.6,27.7,273506.0,-1
16.8743,30.9643,50.8145,1.0875,1.1989,0.1114,29.1988,-131.8208,10.0,60.0,29.21,29.47,27.71,28.96,300948.0,-1
26.5827,49.8035,52.6645,1.0596,1.3533,0.2937,29.233,-64.3603,20.0,70.0,29.82,30.6,28.25,29.33,367803.0,-1
49.4359,68.5459,54.3491,0.9862,1.493,0.5068,29.2191,-0.4324,0.0,80.0,31.78,31.91,29.47,29.68,578215.0,-1
73.3919,78.2702,64.4789,0.8595,1.6139,0.7544,29.1533,70.5089,0.0,90.0,32.4,32.95,31.3,31.59,539449.0,-1
82.8099,81.9341,72.2878,0.671,1.5503,0.8793,28.8052,81.8345,0.0,100.0,31.42,33.16,29.885,32.82,421740.0,-1
78.6089,82.2291,67.6427,0.4511,1.3213,0.8702,28.2316,73.2173,0.0,80.0,31.28,32.135,30.03,31.2,631581.0,1
84.3834,80.2641,68.9918,0.2336,1.1748,0.9412,27.8076,90.6852,0.0,90.0,31.71,31.7768,30.1,31.41,369093.0,-1
83.6951,74.1437,68.5073,-0.0017,0.9493,0.951,27.2929,129.1099,10.0,100.0,32.07,32.91,30.9501,31.23,610526.0,-1
72.7137,69.2237,72.0542,-0.2395,0.666,0.9055,26.7305,159.365,0.0,100.0,30.5,32.23,29.56,31.86,623414.0,1
66.0222,72.7129,68.6971,-0.4659,0.2306,0.6964,25.9977,163.4271,0.0,100.0,25.87,32.15,25.29,30.41,683476.0,1
68.9352,78.3332,56.457,-0.64,-0.1809,0.4591,25.3674,131.6029,10.0,90.0,28.04,28.48,26.5,26.64,394097.0,1
83.1813,81.1985,65.6492,-0.7548,-0.3196,0.4351,25.1855,202.0385,20.0,100.0,25.59,29.78,25.32,28.14,751924.0,1
82.883,75.4321,53.1562,-0.8635,-0.6447,0.2188,24.7635,117.923,30.0,100.0,25.4,25.76,25.0,25.41,334939.0,1
77.5311,68.7526,52.4724,-0.9182,-0.7724,0.1459,24.6711,113.1754,40.0,100.0,24.74,25.6,24.15,25.29,524300.0,1
65.8821,62.1792,49.486,-0.9547,-0.9118,0.0429,24.5827,87.2552,50.0,10.0,24.96,25.42,24.07,24.75,400657.0,1
62.8444,56.8953,47.2774,-0.9655,-1.0215,-0.0561,24.5588,31.8764,60.0,0.0,23.68,24.5,23.27,24.35,486955.0,1
57.8111,46.4609,43.4977,-0.9514,-1.106,-0.1546,24.5886,-2.9811,70.0,0.0,24.09,24.54,23.07,23.67,575137.0,1
