SlowD,SlowK,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
68.0464,58.8234,49.479,0.7062,0.9375,0.2313,59.0269,10.5061,50.0,0.0,62.24,63.01,58.08,58.61,8776562.0,-1
69.4037,74.9325,57.903,0.6484,1.0931,0.4447,59.0988,117.0032,60.0,0.0,60.92,63.09,60.53,61.53,3607470.0,-1
60.0255,70.3833,59.1762,0.5372,0.9788,0.4416,58.7644,84.8173,70.0,0.0,61.05,62.03,60.47,61.94,2929779.0,-1
47.9879,62.8953,54.9107,0.4268,0.7771,0.3503,58.3238,37.383,80.0,10.0,60.69,62.76,59.52,59.98,4277989.0,1
33.0876,46.7981,54.4517,0.3392,0.7076,0.3684,58.0998,19.1908,0.0,20.0,60.43,61.86,59.47,59.77,4646884.0,1
28.1429,34.2702,54.3921,0.2471,0.6299,0.3828,57.8738,-32.8001,0.0,30.0,56.65,60.23,55.995,59.74,7914180.0,1
28.5224,18.1945,48.6378,0.1515,0.5247,0.3733,57.6198,-42.3954,10.0,40.0,59.12,59.47,56.13,56.89,5954620.0,1
42.0859,31.964,52.5986,0.0581,0.6725,0.6144,57.736,-3.9516,20.0,50.0,57.64,59.08,56.8,58.78,5565423.0,-1
55.3913,35.4089,51.1787,-0.0955,0.6592,0.7547,57.5992,18.1252,30.0,60.0,60.96,61.72,56.66,58.03,6496181.0,-1
72.8248,58.8848,57.1117,-0.2841,0.7089,0.993,57.5499,44.0016,40.0,70.0,57.43,61.71,56.8,60.92,5875174.0,1
82.1895,71.8801,51.171,-0.5324,0.4682,1.0006,57.0813,44.3355,0.0,80.0,62.68,63.29,56.6,57.55,5909330.0,-1
86.8974,87.7094,64.2114,-0.7825,0.4968,1.2793,57.0265,122.7441,0.0,90.0,63.41,64.74,61.77,63.04,8115568.0,-1
82.2496,86.979,65.5813,-1.1024,-0.0321,1.0703,56.1807,162.7865,10.0,100.0,62.84,64.92,59.92,63.54,6049029.0,1
78.7858,86.0039,61.78,-1.3699,-0.7575,0.6125,55.1427,186.1529,20.0,100.0,58.87,62.99,58.71,60.95,7262944.0,1
76.3934,73.7658,54.7254,-1.5231,-1.409,0.114,54.3259,120.5459,30.0,0.0,53.54,58.11,53.2,56.89,8447817.0,1
81.2539,76.5878,48.7965,-1.5516,-1.8074,-0.2558,53.9716,26.0661,40.0,10.0,49.98,54.65,49.74,54.06,8548947.0,1
79.2886,78.8268,41.9004,-1.4876,-2.0018,-0.5142,53.9703,-5.9202,50.0,20.0,52.9,54.42,50.88,51.21,8313840.0,-1
69.2853,88.3473,45.7746,-1.359,-1.9311,-0.5721,54.3755,-10.3157,60.0,30.0,52.77,54.1,51.21,53.2,6641061.0,-1
