SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
37.3315,42.8421,60.9194,1.3482,74.4689,0.0,70.0,1.66,1.85,1.62,1.66,1487712.0,-1
39.64,49.83,62.6158,1.3036,105.4171,0.0,80.0,1.7588,1.98,1.56,1.7,5140193.0,-1
51.5548,57.7219,68.6363,1.247,132.5213,10.0,90.0,1.51,1.95,1.33,1.84,7975889.0,1
58.2953,59.2892,62.3535,1.1623,233.4183,20.0,100.0,1.16,2.95,1.11,1.57,42407754.0,1
63.3156,54.862,48.6338,1.1041,95.4728,30.0,0.0,1.11,1.24,1.09,1.17,505385.0,1
56.2567,45.7466,45.9758,1.0946,90.2609,40.0,0.0,1.0,1.35,1.0,1.11,1269393.0,1
45.0138,36.3759,40.9328,1.0925,29.7026,50.0,0.0,0.99,1.22,0.9151,1.0,1059220.0,1
35.9692,28.7384,38.5876,1.1057,0.1667,60.0,10.0,0.75,1.36,0.7395,0.95,3916010.0,1
28.1447,22.5781,27.8886,1.1279,-62.6523,70.0,20.0,0.78,0.88,0.69,0.7424,287228.0,1
22.1014,16.556,25.503,1.183,-88.4846,80.0,30.0,0.77,0.79,0.6317,0.7,313734.0,1
17.4882,11.4101,27.021,1.252,-104.0543,90.0,40.0,0.65,0.789,0.6,0.78,338975.0,1
10.0784,7.9377,21.6091,1.3194,-144.1538,100.0,50.0,0.77,0.8359,0.5323,0.6769,514117.0,-1
6.6639,11.1911,23.3145,1.4112,-161.0363,100.0,0.0,1.04,1.19,0.65,0.7899,801355.0,-1
7.0708,19.3732,27.8715,1.4999,-179.0479,90.0,10.0,1.07,1.16,1.04,1.05,364013.0,-1
19.8386,27.0487,27.3803,1.5642,-225.0772,100.0,20.0,1.41,1.45,1.01,1.04,897165.0,-1
31.2102,27.6814,36.6766,1.6391,-107.4014,0.0,30.0,1.55,1.579,1.395,1.4536,1322356.0,-1
30.0974,23.7767,41.1246,1.6656,39.9826,10.0,40.0,1.55,1.85,1.52,1.6,3186137.0,-1
21.7367,21.2359,38.8449,1.6749,-68.2025,20.0,50.0,1.5,1.57,1.44,1.55,266677.0,1
19.4959,23.2983,36.1758,1.6928,-68.4078,0.0,60.0,1.53,1.63,1.46,1.49,578012.0,1
22.4752,32.84,37.9132,1.7218,18.1495,0.0,70.0,1.68,1.78,1.52,1.56,555665.0,-1
27.9239,44.7322,40.5955,1.7449,30.0153,10.0,80.0,1.48,1.776,1.4109,1.667,549285.0,1
48.1208,55.8548,34.9009,1.756,-4.1446,20.0,90.0,1.61,1.67,1.5,1.52,478660.0,1
58.1518,58.0586,38.0253,1.7897,166.2152,30.0,100.0,2.2,2.24,1.45,1.66,1344876.0,-1
61.2919,58.0303,44.1161,1.8083,201.2706,40.0,0.0,1.49,1.95,1.4574,1.8999,740441.0,1
54.7321,55.7907,27.5846,1.7952,-18.0207,50.0,10.0,1.47,1.7,1.41,1.52,193774.0,1
58.0668,48.8007,24.955,1.8345,-71.2494,60.0,20.0,1.6,1.6,1.3568,1.47,110706.0,-1
54.5732,35.9002,26.5148,1.8865,-26.2056,70.0,30.0,1.57,1.65,1.53,1.56,166465.0,-1
33.7621,22.1419,25.7631,1.9332,-45.4484,80.0,0.0,1.55,1.65,1.48,1.5438,144209.0,1
19.3652,14.9251,24.7453,1.9888,-85.363,90.0,0.0,1.38,1.55,1.35,1.52,222283.0,1
13.2983,13.3186,20.2464,2.0558,-121.444,100.0,10.0,1.49,1.53,1.33,1.4112,125662.0,-1
12.1118,12.4702,21.5101,2.1479,-128.3765,100.0,20.0,1.57,1.61,1.41,1.53,153129.0,-1
14.5455,12.228,21.9248,2.2361,-139.496,100.0,30.0,1.63,1.695,1.46,1.57,182204.0,-1
10.7533,10.5547,21.2416,2.3313,-138.9441,100.0,0.0,1.77,1.9011,1.51,1.55,192247.0,-1
11.3851,13.5553,23.1447,2.4429,-92.1802,100.0,10.0,1.75,2.19,1.6,1.7588,869077.0,-1
9.5257,18.303,23.1545,2.5406,-113.481,100.0,20.0,1.82,1.99,1.73,1.7599,228284.0,-1
19.7552,23.683,23.4819,2.6522,-109.0721,100.0,30.0,1.9,2.07,1.7376,1.8,393946.0,-1
25.6282,23.3969,24.3313,2.7739,-100.1124,20.0,40.0,2.12,2.1209,1.78,1.91,252790.0,-1
25.6657,21.7881,25.9438,2.8973,-8.2327,30.0,50.0,2.19,2.3,1.96,2.12,580995.0,-1
